customer_id,convert,layout
1,0,new
2,0,new
3,1,new
4,0,new
5,0,new
6,0,new
7,0,new
8,0,new
9,0,new
10,0,new
11,0,new
12,0,new
13,0,new
14,0,new
15,1,new
16,1,new
17,0,new
18,0,new
19,0,new
20,1,new
21,0,new
22,1,new
23,1,new
24,1,new
25,0,new
26,0,new
27,0,new
28,1,new
29,0,new
30,0,new
31,0,new
32,0,new
33,0,new
34,0,new
35,1,new
36,0,new
37,0,new
38,0,new
39,1,new
40,0,new
41,0,new
42,1,new
43,0,new
44,0,new
45,0,new
46,0,new
47,1,new
48,0,new
49,0,new
50,0,new
51,0,new
52,0,new
53,0,new
54,0,new
55,0,new
56,1,new
57,0,new
58,0,new
59,0,new
60,0,new
61,0,new
62,0,new
63,0,new
64,0,new
65,1,new
66,0,new
67,0,new
68,0,new
69,0,new
70,0,new
71,0,new
72,0,new
73,0,new
74,0,new
75,0,new
76,0,new
77,0,new
78,0,new
79,0,new
80,0,new
81,0,new
82,0,new
83,0,new
84,0,new
85,0,new
86,1,new
87,1,new
88,0,new
89,0,new
90,0,new
91,1,new
92,0,new
93,1,new
94,0,new
95,1,new
96,1,new
97,0,new
98,0,new
99,0,new
100,0,new
1,1,old
2,1,old
3,0,old
4,0,old
5,0,old
6,0,old
7,0,old
8,0,old
9,1,old
10,0,old
11,0,old
12,0,old
13,0,old
14,0,old
15,1,old
16,0,old
17,0,old
18,0,old
19,1,old
20,0,old
21,0,old
22,0,old
23,0,old
24,0,old
25,0,old
26,0,old
27,0,old
28,0,old
29,0,old
30,0,old
31,0,old
32,0,old
33,0,old
34,0,old
35,0,old
36,0,old
37,0,old
38,0,old
39,0,old
40,0,old
41,0,old
42,0,old
43,0,old
44,0,old
45,0,old
46,0,old
47,1,old
48,0,old
49,0,old
50,0,old
51,0,old
52,1,old
53,0,old
54,0,old
55,0,old
56,0,old
57,0,old
58,0,old
59,1,old
60,1,old
61,0,old
62,0,old
63,0,old
64,0,old
65,0,old
66,0,old
67,0,old
68,0,old
69,0,old
70,0,old
71,0,old
72,0,old
73,0,old
74,0,old
75,1,old
76,0,old
77,0,old
78,0,old
79,0,old
80,0,old
81,0,old
82,0,old
83,0,old
84,0,old
85,0,old
86,0,old
87,0,old
88,0,old
89,0,old
90,0,old
91,0,old
92,0,old
93,0,old
94,0,old
95,0,old
96,0,old
97,0,old
98,0,old
99,0,old
100,0,old
101,0,old
102,0,old
103,0,old
104,0,old
105,0,old
106,0,old
107,0,old
108,0,old
109,0,old
110,0,old
111,1,old
112,0,old
113,0,old
114,1,old
115,0,old
116,0,old
117,0,old
118,0,old
119,0,old
120,0,old
121,0,old
122,0,old
123,0,old
124,1,old
125,0,old
126,0,old
127,0,old
128,0,old
129,0,old
130,1,old
131,0,old
132,0,old
133,0,old
134,0,old
135,1,old
136,0,old
137,0,old
138,0,old
139,0,old
140,0,old
141,0,old
142,0,old
143,1,old
144,0,old
145,0,old
146,0,old
147,0,old
148,1,old
149,0,old
150,0,old
151,0,old
152,0,old
153,0,old
154,1,old
155,0,old
156,0,old
157,0,old
158,0,old
159,0,old
160,0,old
161,1,old
162,0,old
163,0,old
164,0,old
165,0,old
166,0,old
167,0,old
168,0,old
169,0,old
170,1,old
171,0,old
172,0,old
173,0,old
174,0,old
175,0,old
176,1,old
177,0,old
178,0,old
179,0,old
180,0,old
181,0,old
182,0,old
183,0,old
184,0,old
185,0,old
186,0,old
187,0,old
188,0,old
189,0,old
190,0,old
191,0,old
192,0,old
193,0,old
194,0,old
195,0,old
196,0,old
197,0,old
198,0,old
199,0,old
200,0,old
